ds,yhat,yhat_lower,yhat_upper,y
2024-08-01,748.0348010475747,370.1350558483689,1130.534226503766,920.99
2024-08-02,795.8115250884267,422.93676566132035,1177.6794190744338,718.0
2024-08-03,599.9540292805478,207.54331306753923,966.8953134088782,540.8
2024-08-04,731.4082770958487,340.19739411433153,1095.6908620340107,1500.0
2024-08-05,687.4340205115568,298.59374959090627,1029.339375896384,692.98
2024-08-06,721.8819230188158,332.91057305638435,1092.9892590601958,615.27
2024-08-07,910.1979367588808,547.4260699874441,1299.2355946685188,672.6
2024-08-08,1035.8072804959195,656.3752852203224,1397.8748421821003,920.84
2024-08-09,997.3286924977202,643.3690751686847,1377.2797955035726,562.99
2024-08-10,678.059070447426,247.5176279829489,1069.271504553576,255.0
2024-08-11,817.6625727878497,441.71447028214874,1170.0664727240671,1094.8
2024-08-12,899.3484901991027,535.8842381275564,1233.814213303398,860.33
2024-08-13,1004.0998357053635,638.4603453445233,1364.8937704631758,918.99
2024-08-14,960.0251644723904,583.8768675993991,1333.6077889866554,894.6
2024-08-15,996.8092333396082,614.795707969793,1362.412094456542,1175.96
2024-08-16,1175.6272861476905,821.0895075481054,1554.4702970086144,1412.3
2024-08-17,1162.9403299753671,782.2969178465523,1535.3787378464754,1666.0
2024-08-18,1355.2077019019587,976.3280961838501,1709.926313377163,1731.8
2024-08-19,1378.2360935216395,984.3702423053232,1725.9525307137255,1437.8
2024-08-20,1488.8960968682293,1126.116032398946,1884.132717675047,1019.2
2024-08-21,1529.2279707202658,1165.6625995691438,1895.718643396142,1302.78
2024-08-22,1593.159814738666,1207.2096417283526,1954.4398712949499,1123.78
2024-08-23,1747.165137173251,1403.1839672104634,2122.672233249902,2132.0
2024-08-24,1754.6051109557711,1401.954329742335,2124.0792701355294,2712.27
2024-08-25,1910.6907314970163,1541.8694392313857,2302.0181516967377,1712.0
2024-08-26,1843.3941537060127,1446.2443842519451,2217.7717517010637,1204.68
2024-08-27,1858.6732491019188,1462.9135276018194,2233.3844336627308,1695.97
2024-08-28,1890.0864442769418,1502.8929924467811,2220.3315472418617,1974.2
2024-08-29,1935.427909886272,1577.0807081506525,2299.690627021376,2138.0
2024-08-30,1964.4846060709815,1586.7152679840049,2324.0817463555627,1783.2
2024-08-31,1836.238798404821,1454.494369989248,2220.2778299797715,1809.52
2024-09-01,1974.5029947718613,1596.4894068927263,2305.31288411515,2013.0
2024-09-02,1880.2713615536109,1516.1971656891074,2251.389049618068,1937.6
2024-09-03,1805.8411114722335,1441.7250315530864,2176.9580032264007,1065.19
2024-09-04,1711.1116713520444,1364.9900751670161,2098.6336820059996,1796.2
2024-09-05,1705.9346808992964,1298.2842163190353,2086.5719539292154,1583.0
2024-09-06,1826.3942396483753,1445.5318879199124,2205.7749546746386,1506.2
2024-09-07,1880.1434425895397,1507.8108426321069,2264.3159474512427,1957.84
2024-09-08,1976.128999499647,1630.6506353377026,2368.8030920775354,2459.79
2024-09-09,1793.6848390469156,1396.9029366366644,2183.6688599782306,2489.8
2024-09-10,1665.7079127349043,1288.2959198656429,2038.4287722141553,1690.4
2024-09-11,1629.4499398269597,1269.3332007326437,1986.1608084492602,2047.6
2024-09-12,1676.0439288706316,1306.9621581634042,2072.316128638934,1510.4
2024-09-13,1692.5308947136782,1320.4367889765151,2087.8515503771737,1127.2
2024-09-14,1512.2725042331292,1137.5105928840146,1878.010747044641,1586.59
2024-09-15,1596.0654681860462,1210.0092273256053,1939.4505298513502,2107.8
2024-09-16,1541.9350578280623,1190.156559752278,1910.9288016038527,1432.3600000000001
2024-09-17,1496.58962598433,1099.659324852261,1885.5786395160453,1209.78
2024-09-18,1376.3888640245273,1019.4931542073543,1766.4655823994526,1412.8
2024-09-19,1359.4954410337884,1003.794260187625,1727.1618399663196,1376.72
2024-09-20,1417.1446782432124,1070.1004548757237,1809.605784375138,1145.05
2024-09-21,1285.0102940842205,906.4987953921665,1663.7288726435995,1112.4
2024-09-22,1409.7451464485182,1046.658338249369,1784.046011618326,2045.8
2024-09-23,1412.4537749803742,1019.9548704091584,1793.717018451023,1888.6
2024-09-24,1449.2217931903697,1053.3656607589812,1830.17694793996,788.16
2024-09-25,1378.885447335537,1010.6664052410023,1794.7797921468227,929.24
2024-09-26,1372.890924899076,979.9823591420209,1765.3964086248923,978.2
2024-09-27,1522.4357084394053,1155.3953260930577,1893.5227803488435,959.92
2024-09-28,1551.2282164237035,1148.9332589769392,1916.2043164814481,2664.22
2024-09-29,1671.7790040652562,1304.063257952577,2024.1374982432826,1502.8
2024-09-30,1572.5805548507171,1195.9033775063065,1941.584404041758,1234.4
2024-10-01,1617.0759620464523,1243.8844715215916,1992.1754314991017,1455.99
2024-10-02,1554.715768267766,1175.3377726682309,1952.193152014981,2950.0
2024-10-03,1522.257517125778,1157.8939625380483,1862.7639199337093,1378.2
2024-10-04,1522.3443861232058,1134.4373206540731,1891.9521791991951,1692.6
2024-10-05,1438.6896195900115,1049.791748588941,1830.0255845177783,1687.1
2024-10-06,1483.0636742346871,1092.592080532008,1860.6117818380123,1517.6
2024-10-07,1478.1415476261345,1079.7989921677065,1823.3519198620604,864.0
2024-10-08,1419.8520469443595,1053.625058517247,1782.3643040400477,823.2
2024-10-09,1243.3028486134133,891.7871530999593,1605.1126678578319,710.59
2024-10-10,1059.0979987728474,667.5182473383957,1436.141377340562,1230.84
2024-10-11,1085.5658324140686,705.855328514361,1460.2603042980263,1169.39
2024-10-12,1096.369389543836,713.6047185977461,1473.4448872934063,1487.6
2024-10-13,1164.7608367666116,799.7419608177871,1520.372419040165,1512.0
2024-10-14,1137.637642372562,763.5111221584176,1504.037002280276,1432.8
2024-10-15,1125.187680752789,769.2971612984522,1498.8994532865165,920.6
2024-10-16,1114.7161456757542,746.577550679713,1483.6960822022895,1175.12
2024-10-17,1109.0361490591042,732.1236827594674,1505.9898812176632,559.2
2024-10-18,1101.4049117941966,701.2394713236938,1478.183739924166,1290.72
2024-10-19,1048.93985986332,692.5209559611765,1454.52606415003,1644.6
2024-10-20,1062.8874798408497,705.5970868121907,1436.4934988177856,1041.2
2024-10-21,1014.332764595848,656.8992714889491,1388.1043442920395,634.6
2024-10-22,1026.0995352524153,663.63478903859,1401.980794374191,1612.88
2024-10-23,1032.3796081664439,651.4500825274612,1420.1928391151723,716.4
2024-10-24,1050.4705267612524,681.7547264566425,1400.1993304702012,955.8
2024-10-25,1058.532183462613,647.8256288350406,1443.2801224750347,936.32
2024-10-26,996.1740373837476,634.5690732137938,1375.9040057602713,800.5
2024-10-27,1008.8512296218557,658.787592746885,1390.2504913312262,1089.72
2024-10-28,981.2144353246009,594.6377140369218,1329.9345391181125,1102.12
2024-10-29,956.3978265862565,543.7297867868214,1323.0237172664206,632.6
2024-10-30,893.1697208160053,544.4275275555083,1278.1254452683827,588.65
2024-10-31,834.1510465423598,433.6999347133139,1184.8094649452717,428.2
2024-11-01,828.8453876112782,459.39862425706656,1190.6320721486047,960.76
2024-11-02,732.6141022882617,367.69550733092376,1095.9437986674125,964.92
2024-11-03,840.3583335958016,467.7823624728976,1211.9106357175262,1008.6
2024-11-04,854.3546336816363,474.29230881610215,1254.788373348973,785.32
2024-11-05,906.6695887993454,550.7282225957644,1279.2918923216362,1694.4
2024-11-06,917.3137674490275,546.189419169263,1306.5585353727859,493.4
2024-11-07,1003.5983731975263,623.9892265507453,1377.697074084796,2154.6
2024-11-08,1012.5186581043001,627.4410024669186,1349.8472759764036,340.0
2024-11-09,745.2085982655522,395.3870743522813,1116.151856535219,834.8
2024-11-10,679.8755806039542,296.52405821310697,1045.5899736796982,699.17
2024-11-11,592.2900409816165,219.89643120634167,963.8256252604561,399.8
2024-11-12,614.2594771395522,237.92900595667516,1016.2300218216702,541.36
2024-11-13,507.9885412887144,161.05137059417225,858.7142342319235,371.4
2024-11-14,407.8672097623241,17.57501534676758,791.2110175708243,852.8
